NonPAD-AC,PAD-AC,NonPAD-C1,PAD-C1,NonPAD-CIII,PAD-CIII,NonPAD-CIV,PAD_C IV,NonPAD_C V,PAD_C V
,,0.84496,0.8762,,,,,,
,,0.980944,0.86608,,,,,,
,,0.958778,0.747632,,,,,,
,,0.935049,0.905574,,,,,,
,,0.903155,0.852637,,,,,,
,,0.90625,0.8655,,,,,,
,,0.899018,0.859312,,,,,,
,,0.8443,0.8613,,,,,,
,,0.878964,0.498626,,,,,,
,,0.897579,0.751356,,,,,,
,,0.827156,0.802148,,,,,,
,,0.859417,0.81713,,,,,,
,,0.890218,0.572102,,,,,,
,,0.893738,0.634829,,,,,,
,,0.80104,0.721311,,,,,,
,,0.845113,0.823359,,,,,,
,,0.802453,0.790518,,,,,,
,,0.729292,0.487615,,,,,,
,,0.899871,0.914839,,,,,,
,,0.899092,0.892619,,,,,,
,,0.684045,0.930141,,,,,,
,,0.648655,0.835124,,,,,,
,,0.929428,0.879046,,,,,,
,,0.797269,0.548716,,,,,,
,,0.655005,0.505637,,,,,,
,,0.801102,0.8449,,,,,,
,,0.746371,0.921215,,,,,,
,,0.762737,0.41599,,,,,,
,,0.78174,0.390075,,,,,,
,,0.681237,0.499704,,,,,,
,,0.658364,0.531575,,,,,,
,,0.893096,0.356857,,,,,,
,,0.88611,0.745357,,,,,,
,,0.783024,0.578156,,,,,,
,,0.781265,0.695459,,,,,,
,,0.744902,0.833336,,,,,,
,,0.809256,0.624002,,,,,,
,,0.790719,0.36178,,,,,,
,,0.887286,0.8212,,,,,,
,,0.902025,0.77989,,,,,,
,,0.40658,0.785727,,,,,,
,,0.376229,0.643148,,,,,,
,,0.432545,0.665239,,,,,,
,,0.386172,0.454026,,,,,,
,,0.444929,0.852486,,,,,,
,,0.399122,0.40252,,,,,,
,,0.557129,0.843248,,,,,,
,,0.544304,0.58433,,,,,,
,,0.657528,0.412755,,,,,,
,,0.623919,0.552697,,,,,,
,,0.437571,0.71411,,,,,,
,,0.70389,0.714393,,,,,,
,,0.665965,0.425258,,,,,,
,,0.624818,0.811559,,,,,,
,,0.496023,0.813849,,,,,,
,,0.811921,0.801967,,,,,,
,,0.744957,0.760573,,,,,,
,,0.730101,0.741548,,,,,,
,,0.456914,0.53282,,,,,,
,,0.702214,0.473468,,,,,,
,,0.649613,0.651326,,,,,,
,,0.748099,0.807033,,,,,,
,,0.650178,0.719391,,,,,,
,,0.646097,0.477681,,,,,,
,,0.760599,0.363935,,,,,,
,,0.745991,0.47018,,,,,,
,,0.712368,0.548057,,,,,,
,,0.649615,0.477225,,,,,,
,,0.460662,0.513784,,,,,,
,,0.485377,0.535346,,,,,,
,,0.632301,0.446778,,,,,,
,,0.416464,0.423821,,,,,,
,,0.466002,0.44664,,,,,,
,,0.473548,0.370756,,,,,,
,,0.497128,0.654418,,,,,,
,,0.450057,0.587605,,,,,,
,,0.485092,0.482206,,,,,,
,,0.396499,0.481553,,,,,,
,,0.424437,0.381661,,,,,,
,,0.446449,0.51556,,,,,,
,,0.489369,0.551289,,,,,,
,,0.452388,0.539094,,,,,,
,,0.440677,0.560752,,,,,,
,,0.445553,0.493003,,,,,,
,,0.623225,0.427063,,,,,,
,,0.484854,0.502298,,,,,,
,,0.471241,0.513593,,,,,,
,,0.668273,0.392145,,,,,,
,,0.630754,0.626193,,,,,,
,,0.419235,0.668881,,,,,,
,,0.607589,0.564292,,,,,,
,,0.608447,0.73354,,,,,,
,,0.694594,0.733671,,,,,,
,,0.464119,0.614448,,,,,,
,,0.666761,0.399911,,,,,,
,,0.655003,0.727812,,,,,,
,,0.583885,0.765118,,,,,,
,,0.555008,0.779909,,,,,,
,,0.502952,0.631845,,,,,,
,,0.593726,0.683357,,,,,,
,,0.651521,0.448933,,,,,,
,,0.645688,0.714254,,,,,,
,,0.648587,0.468279,,,,,,
,,0.633856,0.768894,,,,,,
,,0.695301,0.633317,,,,,,
,,0.562601,0.386,,,,,,
,,0.465736,0.587286,,,,,,
,,0.386275,0.712633,,,,,,
,,0.597752,0.66442,,,,,,
,,0.38604,0.571219,,,,,,
,,0.754667,0.762194,,,,,,
,,0.680008,0.786028,,,,,,
,,,0.747609,,,,,,
,,,0.749572,,,,,,
,,,0.646027,,,,,,
,,,0.580581,,,,,,
,,,0.49501,,,,,,
,,,0.601566,,,,,,
,,,0.691975,,,,,,
,,,0.611106,,,,,,
,,,0.773038,,,,,,
,,,0.697083,,,,,,
