prot1	prot2	r
ATP5F1B	NDUFAF4	0.695998303902387
ATP5F1B	NDUFAF5	0.441912661094567
ATP5F1B	NDUFAF6	0.684239619417697
ATP5F1B	NDUFAF7	0.776025714262043
ATP5F1B	NDUFS1	0.840427069454515
ATP5F1B	NDUFS2	0.811782598471721
ATP5F1B	NDUFS3	0.819770264481412
ATP5F1B	NDUFS4	0.867844684871907
ATP5F1B	NDUFS5	0.805434584529208
ATP5F1B	NDUFS6	0.633938639337342
ATP5F1B	NDUFS7	0.592486191120664
ATP5F1B	NDUFS8	0.740889369851357
ATP5F1B	NDUFV1	0.8006436088531
ATP5F1B	NDUFV2	0.726885274419576
ATP5F1B	MT-ND1	0.682758869212387
ATP5F1B	MT-ND4	0.648186923590845
ATP5F1B	MT-ND5	0.716772439921678
ATP5F1B	NUBPL	0.494971392682155
ATP5F1B	UQCRC1	0.941572904584079
ATP5F1B	UQCRC2	0.953223449894342
ATP5F1B	UQCRH	0.50440340341881
ATP5F1B	UQCRB	0.945402403119704
ATP5F1B	UQCRQ	0.717716060195947
ATP5F1B	UQCR10	0.727315757756199
ATP5F1B	SCO1	0.405840716937844
ATP5F1B	SDHA	0.768150182360536
ATP5F1B	SDHB	0.76971339855786
ATP5F1B	TIMMDC1	0.593574056724273
ATP5F1B	UQCRFS1	0.935008220315656
ATP5F1B	UQCC1	0.50057770968563
ATP5F1B	UQCC2	0.516149433285949
ATP5F1D	ATPAF2	0.473937778576405
ATP5F1D	ATP5F1C	0.781555878109193
ATP5F1D	ATP5PO	0.534647553314151
ATP5F1D	COA6	0.597200823203024
ATP5F1D	MT-CO1	0.46146513272676
ATP5F1D	COX11	0.43048219033011
ATP5F1D	COX17	0.672055069922617
ATP5F1D	MT-CO2	0.521680721395228
ATP5F1D	COX20	0.564766602330667
ATP5F1D	COX4I1	0.724286823443955
ATP5F1D	COX6C	0.49236635676098
ATP5F1D	COX6B1	0.682929922577909
ATP5F1D	CYC1	0.78770136318734
ATP5F1D	ECSIT	0.631838657179494
ATP5F1D	NDUFA2	0.695580510866438
ATP5F1D	NDUFA3	0.724434139015614
ATP5F1D	NDUFA5	0.83367794467757
ATP5F1D	NDUFA6	0.536835495674561
ATP5F1D	NDUFA7	0.735969418365905
ATP5F1D	NDUFA8	0.545429650768569
ATP5F1D	NDUFA9	0.5623740042057
ATP5F1D	NDUFA10	0.647009410607237
ATP5F1D	NDUFA11	0.494505910446627
ATP5F1D	NDUFA12	0.769788495816186
ATP5F1D	NDUFA13	0.641518383103764
ATP5F1D	NDUFB3	0.480281848124827
ATP5F1D	NDUFB4	0.582132526523231
ATP5F1D	NDUFB5	0.814289897859824
ATP5F1D	NDUFB6	0.873772248526455
ATP5F1D	NDUFB7	0.646111158610175
ATP5F1D	NDUFB8	0.775201045435341
ATP5F1D	NDUFB9	0.741400713318676
ATP5F1D	NDUFB10	0.716926416722256
ATP5F1D	NDUFB11	0.716548629717591
ATP5F1D	NDUFC2	0.87025144625372
ATP5F1D	NDUFAF3	0.460230940019384
ATP5F1D	NDUFAF4	0.419784023310882
ATP5F1D	NDUFAF6	0.399160297434627
ATP5F1D	NDUFAF7	0.545978418548919
ATP5F1D	NDUFS1	0.653603961647564
ATP5F1D	NDUFS2	0.563313745007001
